x_0 f(x)
#quartil_3 - min: 1.2737457801717684, max: 2.3062919970590117
2011.0 2.046467321304912
2011.25 2.2108749672839303
2011.5 2.266951817215285
2011.75 1.7579324192772896
2012.0 1.829743310216388
2012.25 1.6678335066697885
2012.5 1.3633439470991195
2012.75 1.3709888320806196
2013.0 1.417134316273678
2013.25 1.720011923465878
2013.5 1.9545405908214781
2013.75 1.9826724488186669
2014.0 2.15948849075691
2014.25 2.048845669765289
2014.5 2.113845869759552
2014.75 2.0072406385070516
2015.0 2.1178518884590214
2015.25 1.7224451706991886
2015.5 1.5936896084322343
2015.75 1.6130172858082568
2016.0 1.755599994745953
2016.25 1.897453154645186
2016.5 2.3062919970590117
2016.75 2.1182452455902108
2017.0 2.016882334315514
2017.25 2.297344115720461
2017.5 1.9949506896986422
2017.75 2.1300923886063385
2018.0 1.7274189733141445
2018.25 1.6582840751965124
2018.5 1.6269505767537618
2018.75 1.9514811153874156
2019.0 1.6720272205977227
2019.25 1.748898742590808
2019.5 1.9775155301767815
2019.75 1.9388331768030491
2020.0 1.926646063803601
2020.25 1.963820913071975
2020.5 1.8086770767403006
2020.75 1.662942949925262
2021.0 1.510539286523973
2021.25 1.5134967886176873
2021.5 1.4510795418809985
2021.75 1.4906579707471208
2022.0 1.3016174377706964
2022.25 1.2737457801717684
