x_0 f(x)
#max - min: 1.6856337314758782, max: 10.07332443138878
2010.0 1.6856337314758782
2010.25 1.7762212208078418
2010.5 1.7533885410454564
2010.75 2.159513331094821
2011.0 6.110017379010834
2011.25 6.073819082868076
2011.5 5.334563522078193
2011.75 5.2522292427792525
2012.0 2.7677476121687183
2012.25 2.8303276763365743
2012.5 2.5060721929505343
2012.75 2.347427834335136
2013.0 2.583450831011944
2013.25 3.0642224360071166
2013.5 3.212874136713583
2013.75 5.297796916371129
2014.0 7.315382443609323
2014.25 7.378668863170109
2014.5 10.07332443138878
2014.75 5.940744264698822
2015.0 6.930452638876047
2015.25 3.1985616984338128
2015.5 3.725238659078718
2015.75 2.4789917482401416
2016.0 2.896722902358913
2016.25 3.2414987982453303
2016.5 3.6505645901733907
2016.75 3.2597116242196016
2017.0 3.3186464692767697
2017.25 5.139764146941546
2017.5 4.439639703036487
2017.75 4.017034792311204
2018.0 4.293442179241524
2018.25 4.078475952664854
2018.5 3.6216023175122913
2018.75 3.224666206152594
2019.0 4.822839128013487
2019.25 7.099627463254746
2019.5 6.816458666640005
2019.75 6.280970511092669
2020.0 6.113945736838799
2020.25 4.590905936810569
2020.5 3.5187049179672027
2020.75 3.127955966871998
2021.0 4.089039442131632
2021.25 2.8322100314694993
2021.5 3.1292607528284844
2021.75 2.8406286340304727
2022.0 2.997626040445548
