x_0 f(x)
#Mahle_Metal_Leve - min: 0.17381462100999884, max: 0.8412394178855631
2011.0 0.6929186898929016
2011.25 0.6445313074558372
2011.5 0.8412394178855631
2011.75 0.6785459844935335
2012.0 0.43884071873489117
2012.25 0.338669709298007
2012.5 0.28451597031644466
2012.75 0.4511311816405134
2013.0 0.23540660103746874
2013.25 0.6079721068225529
2013.5 0.4984322192451841
2013.75 0.5883557926436519
2014.0 0.5482154512807403
2014.25 0.6827454359806214
2014.5 0.5275194001141383
2014.75 0.6991157214693805
2015.0 0.47918828125260626
2015.25 0.4509066165510984
2015.5 0.4653877353791915
2015.75 0.42210911655964195
2016.0 0.2598041727734561
2016.25 0.23094803855132906
2016.5 0.33292273352003227
2016.75 0.469426930627001
2017.0 0.5244330917360646
2017.25 0.5669185621257795
2017.5 0.5856255856652014
2017.75 0.7245971041173549
2018.0 0.39709792279290873
2018.25 0.3579670639920461
2018.5 0.27666013541040213
2018.75 0.28930089121266955
2019.0 0.17381462100999884
2019.25 0.29836855493591624
2019.5 0.17725237545331146
2019.75 0.3180189548853831
2020.0 0.28748156197730546
2020.25 0.5020352572339004
2020.5 0.5271258158162152
2020.75 0.573188926225512
2021.0 0.5977709286453272
2021.25 0.3935631051449416
2021.5 0.3395779061634292
2021.75 0.37067749696434904
2022.0 0.4278331032766782
