x_0 f(x)
#None
2010.0 0.6697999747484402
2010.25 0.771930054277334
2010.5 0.9343573088161871
2010.75 1.0616602771266122
2011.0 1.8072865169393473
2011.25 1.5742926526663408
2011.5 1.5407222259822404
2011.75 1.576516059448915
2012.0 1.7684621385651575
2012.25 1.7780627903939084
2012.5 1.594467200518563
2012.75 1.5917679016378843
2013.0 1.602862085408634
2013.25 1.8069190238026094
2013.5 1.8203569291956159
2013.75 1.775586228526008
2014.0 1.8971980445790497
2014.25 1.8904920778591792
2014.5 1.9119314396067715
2014.75 1.8154526124218548
2015.0 1.773125815017108
2015.25 1.7107172680050655
2015.5 1.7096187755815972
2015.75 1.6619493674954433
2016.0 1.68111464298332
2016.25 1.6026301000687453
2016.5 1.6070968404146981
2016.75 1.7523152012534677
2017.0 1.8145582865075625
2017.25 1.987814246865554
2017.5 1.8737116735658979
2017.75 1.995588339634859
2018.0 1.631568278047252
2018.25 1.7227061988971961
2018.5 2.12500376963035
2018.75 2.266472243877523
2019.0 1.7249636088214795
2019.25 2.070041348944481
2019.5 2.0574556191915216
2019.75 1.8303665412614554
2020.0 2.54423170475412
2020.25 2.3061489601143292
2020.5 1.5056622181400154
2020.75 1.4478104871777644
2021.0 1.3282757543743942
2021.25 1.3976929720526292
2021.5 1.479420289903775
2021.75 1.5464447949228046
2022.0 1.5415997103820585
2022.25 1.3711036523986335
