x_0 f(x)
#liquidez_seca.max - min: 1.8681541113772224, max: 8.154228355366719
2011.0 4.848658548227064
2011.25 4.757019367536049
2011.5 4.173913043478261
2011.75 4.059698177739776
2012.0 2.469631185525873
2012.25 2.5537106006616606
2012.5 1.9713858500782275
2012.75 1.8681541113772224
2013.0 2.0312854231987907
2013.25 2.4129880971384114
2013.5 2.6485252606419807
2013.75 4.517978548459407
2014.0 6.165104042253159
2014.25 6.104098236771222
2014.5 8.154228355366719
2014.75 5.029038772856659
2015.0 5.726295133496216
2015.25 2.649425643825153
2015.5 2.982181702347907
2015.75 1.963503913001122
2016.0 2.197764257987459
2016.25 2.472688373697201
2016.5 2.7992712484437114
2016.75 2.5014782149109767
2017.0 2.6012043422999187
2017.25 3.018477984219903
2017.5 2.630822279300517
2017.75 2.9003523118769894
2018.0 2.96361479187438
2018.25 2.895149835464736
2018.5 2.6456995376325554
2018.75 2.392075551654206
2019.0 3.2679794360083516
2019.25 5.995057403785504
2019.5 5.652168671617855
2019.75 5.195653984600085
2020.0 5.183501613489783
2020.25 3.8701500725385154
2020.5 2.2546156337064467
2020.75 2.470302975021245
2021.0 3.0492243125890184
2021.25 2.041386722335793
2021.5 2.1063909705710775
2021.75 2.09232591817773
2022.0 2.1060697734024094
