x_0 f(x)
#Tupy - min: 1.0606577478070196, max: (2.5537106006616606,)
2011.0 2.2725265259778396
2011.25 2.282401363635271
2011.5 2.1345543971104335
2011.75 1.564315923344853
2012.0 2.469631185525873
2012.25 2.5537106006616606
2012.5 1.0644877213125514
2012.75 1.0609568660635857
2013.0 1.0606577478070196
2013.25 1.216134387193673
2013.5 1.5866896286802754
2013.75 1.6066902896081772
2014.0 2.3009006157564595
2014.25 2.0425710699186697
2014.5 1.832853758345897
2014.75 2.0177136768070834
2015.0 2.022507845625633
2015.25 1.8483182860465268
2015.5 1.537854922421113
2015.75 1.6599413537447811
2016.0 1.9458927745944377
2016.25 2.0953691211680656
2016.5 2.3260681067609252
2016.75 2.096210421502512
2017.0 1.8157125870066786
2017.25 1.9180720003545229
2017.5 1.9191218972564996
2017.75 1.9291576940441275
2018.0 1.3811533426201807
2018.25 1.5237349088646759
2018.5 1.550225856956961
2018.75 1.6028406396601171
2019.0 1.606772786792116
2019.25 1.5703021231580934
2019.5 1.5771994834164138
2019.75 1.6638456774594717
2020.0 1.7270958817512856
2020.25 1.488724843912079
2020.5 1.6619747252338781
2020.75 1.6760966289296582
2021.0 1.7011010467507264
2021.25 1.9026935605611828
2021.5 1.7216864207171918
2021.75 1.9007613131872307
2022.0 1.305899299389655
