x_0 f(x)
#Romi - min: 0.6824206925660367, max: 5.127584450623572
2010.0 0.6897214516220348
2010.25 0.7197274571391179
2010.5 0.6824206925660367
2010.75 0.6833732724450272
2011.0 3.17888253266593
2011.25 1.3601795651536999
2011.5 1.3585086455394981
2011.75 1.3499673777992884
2012.0 2.7084572553450807
2012.25 2.4048041465784014
2012.5 2.310101231470817
2012.75 2.4399247437394576
2013.0 2.4489118293414265
2013.25 2.4008625540603545
2013.5 2.3264644155678655
2013.75 2.2812447298107306
2014.0 2.393861756190129
2014.25 2.4039747227476727
2014.5 2.1367000153318925
2014.75 2.2492573727290504
2015.0 2.453445196098343
2015.25 2.385029888854756
2015.5 2.61971402494676
2015.75 2.5712763666125813
2016.0 3.0641306645993374
2016.25 3.0479464473502897
2016.5 3.0478984903213857
2016.75 2.655096315327938
2017.0 2.416881461460646
2017.25 5.127584450623572
2017.5 4.5047206809400695
2017.75 4.161407227780543
2018.0 2.4582817561695065
2018.25 2.3925450237580432
2018.5 3.66882990832326
2018.75 3.5641866555320885
2019.0 2.2854338051455763
2019.25 2.256826276216858
2019.5 2.178944709868878
2019.75 2.186589625674143
2020.0 4.042241029299885
2020.25 4.083319933162278
2020.5 3.945871086505852
2020.75 1.4878784940240977
2021.0 1.440563701825079
2021.25 1.4436328183909413
2021.5 1.4698172928598499
2021.75 1.4993684851096243
2022.0 1.519349528426299
