x_0 f(x)
#Whirlpool - min: 0.3646360652226176, max: 2.3462453962983756
2010.0 0.3646360652226176
2010.25 0.4017766205098944
2010.5 0.5130545170499888
2010.75 0.5474537024058489
2011.0 1.302481576317034
2011.25 1.3861938820121869
2011.5 1.2108219901961084
2011.75 1.2793881975796821
2012.0 1.2928831765814628
2012.25 1.3758427940607532
2012.5 1.3998367409481856
2012.75 1.4342167384983593
2013.0 1.354555365748273
2013.25 1.4347491865738684
2013.5 1.4861204815984506
2013.75 1.542521926681139
2014.0 1.4252787052725366
2014.25 1.49902702090496
2014.5 1.429641773744694
2014.75 1.4606686620777363
2015.0 1.3553366631048824
2015.25 1.4246043805180477
2015.5 1.4807017052797329
2015.75 1.5229540500683805
2016.0 1.4286262860172547
2016.25 1.502806293933891
2016.5 1.4632598672436217
2016.75 1.4327635148074438
2017.0 1.4596784274080055
2017.25 1.4877378814973021
2017.5 1.4844405841395527
2017.75 1.3627000569460639
2018.0 1.3245678721843908
2018.25 1.3645406909121431
2018.5 2.3462453962983756
2018.75 2.228878335939961
2019.0 2.043000012213966
2019.25 1.8832564216721046
2019.5 1.9359665285141656
2019.75 1.4508815719442494
2020.0 1.769117730782906
2020.25 1.9213822383033807
2020.5 1.40084744328007
2020.75 1.4077424803314313
2021.0 1.1860854537413175
2021.25 1.2275390008473028
2021.5 1.1598406767371272
2021.75 1.2153725827213566
2022.0 1.1122130779341455
