x_0 f(x)
#Metisa - min: 1.4812975937546424, max: 3.9474514282008752
2011.0 1.7206394901788178
2011.25 1.7623914233204947
2011.5 1.7229358064249827
2011.75 1.6342831510821296
2012.0 1.7072500328203728
2012.25 1.7577973122959865
2012.5 1.7240381204365616
2012.75 2.0321200450984986
2013.0 2.174251070695309
2013.25 1.9760537092146988
2013.5 1.800774455861022
2013.75 1.6433725210041703
2014.0 1.6164225046459604
2014.25 1.6332290286947975
2014.5 1.6871628638816505
2014.75 1.4957370650653474
2015.0 1.4992330990301195
2015.25 1.4812975937546424
2015.5 1.5392726951195665
2015.75 1.498104122754439
2016.0 1.5436801882934352
2016.25 1.7024539062035995
2016.5 1.7509338135857744
2016.75 2.0718668876994917
2017.0 2.1694381456071192
2017.25 2.4878906122338056
2017.5 2.2629827629922428
2017.75 3.368793522521801
2018.0 3.5668938104319747
2018.25 3.415390265968274
2018.5 3.1393553090213078
2018.75 2.849196222279372
2019.0 3.9474514282008752
2019.25 3.4957255054694087
2019.5 3.4046564886168134
2019.75 2.702659968583207
2020.0 3.3193456787253335
2020.25 2.690915681925278
2020.5 2.6736082495436113
2020.75 2.809299657590724
2021.0 3.4824563657275522
2021.25 2.5911229950164563
2021.5 2.8363093224001186
2021.75 2.490824659160506
2022.0 2.4391019432855114
