x_0 f(x)
#Weg - min: 1.0112741123114897, max: (2.493802632118947,)
2011.0 1.952264876833799
2011.25 1.846566626077406
2011.5 1.8291860538265468
2011.75 1.5881645029546485
2012.0 1.636328533651052
2012.25 1.5916671542644396
2012.5 1.4118309763225678
2012.75 1.483756867427402
2013.0 1.4616665294753362
2013.25 1.7510009957365646
2013.5 1.750221088770662
2013.75 1.7859578910928688
2014.0 2.0968810510898166
2014.25 2.0509372030474955
2014.5 2.151713536209494
2014.75 1.9758215236069556
2015.0 1.8910434318352232
2015.25 1.7467993714755639
2015.5 1.7417956747678023
2015.75 1.6161407800776737
2016.0 2.1689314276721463
2016.25 2.2385762879709796
2016.5 2.2469636679532714
2016.75 2.493802632118947
2017.0 2.30337358620616
2017.25 2.41199171126701
2017.5 2.0125252359095858
2017.75 1.9112579727579164
2018.0 1.7480405788312254
2018.25 1.8177588655622012
2018.5 1.5424402063795475
2018.75 1.3543176082554196
2019.0 1.3866041822771695
2019.25 1.3564605860061878
2019.5 1.4134019512851324
2019.75 1.4873383962703306
2020.0 1.546145742805478
2020.25 1.4235229582299835
2020.5 1.514423326131145
2020.75 1.6234819129120732
2021.0 1.4992431202486756
2021.25 1.3846813130347149
2021.5 1.234413847931465
2021.75 1.2111423481360903
2022.0 1.1918562380579736
2022.25 1.0112741123114897
