x_0 f(x)
#Embraer - min: 0.8786406195884936, max: (5.995057403785504,)
2011.0 1.1676898772499034
2011.25 1.0099662753894671
2011.5 0.9841015112166106
2011.75 0.8786406195884936
2012.0 1.0155577291703481
2012.25 0.9242421082529411
2012.5 0.9996554008239655
2012.75 0.9745956753230619
2013.0 1.1497970635332484
2013.25 1.0665242085756208
2013.5 1.0726630173550096
2013.75 0.9644799241477704
2014.0 1.2031867836089551
2014.25 1.114310276244983
2014.5 1.2429058265957158
2014.75 1.0902857687850007
2015.0 1.333928717318153
2015.25 1.0622959728179802
2015.5 1.4838801442387632
2015.75 1.2948270759038976
2016.0 1.3299446097531027
2016.25 1.1980401279620825
2016.5 1.0696223411245886
2016.75 1.085736196981124
2017.0 1.347125548928168
2017.25 1.5328331902152128
2017.5 1.6428959519613966
2017.75 1.731160203147887
2018.0 1.7620017764636813
2018.25 1.5896837410990792
2018.5 1.5280629456856818
2018.75 1.2877567864534722
2019.0 1.5069792808657665
2019.25 5.995057403785504
2019.5 5.652168671617855
2019.75 5.195653984600085
2020.0 5.183501613489783
2020.25 3.8701500725385154
2020.5 1.004985128958295
2020.75 1.1341802513866464
2021.0 1.5143046752824054
2021.25 1.4187725213777411
2021.5 1.2654490439997397
2021.75 1.257723509071746
2022.0 1.3973345714906804
2022.25 1.2232462131196347
