x_0 f(x)
#None
2011.0 3.348530565725711
2011.25 3.2260366350919014
2011.5 2.868000312980882
2011.75 2.890686595671438
2012.0 1.9060869075355007
2012.25 1.9597299673196036
2012.5 1.2372829214640948
2012.75 1.023603224849409
2013.0 1.203358267156243
2013.25 1.438370466346378
2013.5 1.6532240623716443
2013.75 2.9902339940263882
2014.0 4.529831075501036
2014.25 4.280718000911259
2014.5 5.472403562104723
2014.75 3.727224866616365
2015.0 4.508208297740146
2015.25 1.9498508530531413
2015.5 2.171484051951541
2015.75 1.2485962494500926
2016.0 1.3541227549748698
2016.25 1.403439281749496
2016.5 2.423868055588938
2016.75 2.1406657747828097
2017.0 2.2104265205342446
2017.25 2.05415510979665
2017.5 1.7755063218900993
2017.75 1.8436128304124062
2018.0 1.4756617894553912
2018.25 1.4462235610763365
2018.5 1.255791223162262
2018.75 1.389573376158987
2019.0 1.5157258076362796
2019.25 1.4010979858111179
2019.5 1.3533901216612714
2019.75 1.278752014417162
2020.0 1.5453890846595357
2020.25 1.2290055025486308
2020.5 1.3109727067207642
2020.75 1.1832260091652005
2021.0 1.5565512546843627
2021.25 1.0005203710786115
2021.5 0.855690821039635
2021.75 0.9989500314000044
2022.0 0.941428325329098
2022.25 0.9119400347412295
